data_inicial,data_final,preco_medio_revenda,desvio_padrao_revenda,preco_minimo_revenda,preco_maximo_revenda,regiao,estado,abrangencia
2004-05-09,2004-05-15,2.083,0.142,1.57,2.85,,,nacional
2004-05-16,2004-05-22,2.083,0.145,1.54,2.85,,,nacional
2004-05-23,2004-05-29,2.084,0.142,1.57,2.85,,,nacional
2004-05-30,2004-06-05,2.096,0.137,1.529,2.85,,,nacional
2004-06-06,2004-06-12,2.103,0.135,1.58,2.85,,,nacional
2004-06-13,2004-06-19,2.134,0.146,1.56,2.85,,,nacional
2004-06-20,2004-06-26,2.213,0.138,1.69,2.89,,,nacional
2004-06-27,2004-07-03,2.209,0.138,1.68,2.88,,,nacional
2004-07-04,2004-07-10,2.208,0.139,1.739,2.88,,,nacional
2004-07-11,2004-07-17,2.2,0.141,1.659,2.88,,,nacional
2004-07-18,2004-07-24,2.197,0.139,1.739,3.0,,,nacional
2004-07-25,2004-07-31,2.208,0.14,1.59,3.0,,,nacional
2004-08-01,2004-08-07,2.212,0.14,1.699,3.0,,,nacional
2004-08-08,2004-08-14,2.225,0.139,1.74,3.0,,,nacional
2004-08-15,2004-08-21,2.231,0.139,1.72,3.0,,,nacional
2004-08-22,2004-08-28,2.232,0.14,1.74,3.0,,,nacional
2004-08-29,2004-09-04,2.232,0.14,1.69,3.0,,,nacional
2004-09-05,2004-09-11,2.233,0.141,1.74,3.0,,,nacional
2004-09-12,2004-09-18,2.232,0.142,1.69,3.0,,,nacional
2004-09-19,2004-09-25,2.232,0.144,1.69,3.0,,,nacional
2004-09-26,2004-10-02,2.23,0.143,1.69,3.0,,,nacional
2004-10-03,2004-10-09,2.23,0.143,1.69,3.0,,,nacional
2004-10-10,2004-10-16,2.233,0.14,1.699,3.0,,,nacional
2004-10-17,2004-10-23,2.291,0.144,1.739,3.1,,,nacional
2004-10-24,2004-10-30,2.292,0.141,1.74,2.98,,,nacional
2004-10-31,2004-11-06,2.18,0.142,1.709,3.1,,,nacional
2004-11-07,2004-11-13,2.2,0.142,1.75,3.1,,,nacional
2004-11-14,2004-11-20,2.202,0.14,1.78,3.1,,,nacional
2004-11-21,2004-11-27,2.21,0.141,1.78,3.1,,,nacional
2004-11-28,2004-12-04,2.302,0.15,1.78,3.1,,,nacional
2004-12-05,2004-12-11,2.307,0.147,1.89,3.1,,,nacional
2004-12-12,2004-12-18,2.3,0.148,1.89,3.1,,,nacional
2004-12-19,2004-12-25,2.305,0.145,1.89,3.1,,,nacional
2004-12-26,2005-01-01,2.302,0.144,1.89,3.1,,,nacional
2005-01-02,2005-01-08,2.302,0.144,1.87,3.22,,,nacional
2005-01-09,2005-01-15,2.297,0.147,1.89,3.1,,,nacional
2005-01-16,2005-01-22,2.296,0.148,1.89,3.1,,,nacional
2005-01-23,2005-01-29,2.292,0.149,1.89,3.1,,,nacional
2005-01-30,2005-02-05,2.292,0.148,1.89,3.1,,,nacional
2005-02-06,2005-02-12,2.288,0.149,1.92,3.17,,,nacional
2005-02-13,2005-02-19,2.285,0.149,1.949,3.22,,,nacional
2005-02-20,2005-02-26,2.283,0.15,1.92,3.22,,,nacional
2005-02-27,2005-03-05,2.287,0.148,1.949,3.22,,,nacional
2005-03-06,2005-03-12,2.29,0.146,1.94,3.22,,,nacional
2005-03-13,2005-03-19,2.289,0.145,1.949,3.2,,,nacional
2005-03-20,2005-03-26,2.294,0.141,1.94,3.2,,,nacional
2005-03-27,2005-04-02,2.294,0.141,1.949,3.2,,,nacional
2005-04-03,2005-04-09,2.306,0.158,1.94,3.2,,,nacional
2005-04-10,2005-04-16,2.303,0.159,1.939,3.2,,,nacional
2005-04-17,2005-04-23,2.301,0.156,1.929,3.2,,,nacional
2005-04-24,2005-04-30,2.299,0.155,1.929,3.2,,,nacional
2005-05-01,2005-05-07,2.294,0.154,1.929,3.2,,,nacional
2005-05-08,2005-05-14,2.295,0.156,1.909,3.2,,,nacional
2005-05-15,2005-05-21,2.283,0.16,1.87,3.2,,,nacional
2005-05-22,2005-05-28,2.27,0.164,1.845,3.2,,,nacional
2005-05-29,2005-06-04,2.268,0.167,1.847,3.2,,,nacional
2005-06-05,2005-06-11,2.261,0.171,1.795,3.2,,,nacional
2005-06-12,2005-06-18,2.252,0.175,1.795,3.2,,,nacional
2005-06-19,2005-06-25,2.255,0.173,1.735,3.2,,,nacional
2005-06-26,2005-07-02,2.254,0.171,1.698,3.2,,,nacional
2005-07-03,2005-07-09,2.259,0.168,1.88,3.2,,,nacional
2005-07-10,2005-07-16,2.269,0.163,1.899,3.2,,,nacional
2005-07-17,2005-07-23,2.272,0.164,1.899,3.2,,,nacional
2005-07-24,2005-07-30,2.271,0.164,1.91,3.2,,,nacional
2005-07-31,2005-08-06,2.275,0.163,1.899,3.2,,,nacional
2005-08-07,2005-08-13,2.275,0.162,1.889,2.96,,,nacional
2005-08-28,2005-09-03,2.263,0.162,1.92,3.2,,,nacional
2005-09-04,2005-09-10,2.267,0.159,1.89,3.2,,,nacional
2005-09-11,2005-09-17,2.445,0.177,1.99,3.2,,,nacional
2005-09-18,2005-09-24,2.449,0.174,1.999,3.6,,,nacional
2005-09-25,2005-10-01,2.438,0.168,2.05,3.34,,,nacional
2005-10-02,2005-10-08,2.455,0.163,2.059,3.2,,,nacional
2005-10-09,2005-10-15,2.474,0.166,2.09,3.37,,,nacional
2005-10-16,2005-10-22,2.467,0.161,1.979,3.3,,,nacional
2005-10-23,2005-10-29,2.474,0.161,2.059,3.12,,,nacional
2005-10-30,2005-11-05,2.476,0.155,2.05,3.3,,,nacional
2005-11-06,2005-11-12,2.481,0.158,1.87,3.3,,,nacional
2005-11-13,2005-11-19,2.481,0.165,2.069,3.3,,,nacional
2005-11-20,2005-11-26,2.475,0.166,2.079,3.3,,,nacional
2005-11-27,2005-12-03,2.475,0.164,2.069,3.3,,,nacional
2005-12-04,2005-12-10,2.476,0.165,2.06,3.3,,,nacional
2005-12-11,2005-12-17,2.485,0.161,2.089,3.3,,,nacional
2005-12-18,2005-12-24,2.486,0.162,2.04,3.3,,,nacional
2005-12-25,2005-12-31,2.486,0.16,2.089,3.3,,,nacional
2006-01-01,2006-01-07,2.496,0.16,2.089,3.3,,,nacional
2006-01-08,2006-01-14,2.516,0.157,2.09,3.3,,,nacional
2006-01-15,2006-01-21,2.513,0.158,2.13,3.3,,,nacional
2006-01-22,2006-01-28,2.514,0.162,2.13,3.3,,,nacional
2006-01-29,2006-02-04,2.513,0.161,2.07,3.5,,,nacional
2006-02-05,2006-02-11,2.522,0.161,2.099,3.3,,,nacional
2006-02-12,2006-02-18,2.523,0.159,2.09,3.3,,,nacional
2006-02-19,2006-02-25,2.524,0.16,2.09,3.3,,,nacional
2006-02-26,2006-03-04,2.551,0.153,2.12,3.3,,,nacional
2006-03-05,2006-03-11,2.602,0.148,2.18,3.5,,,nacional
2006-03-12,2006-03-18,2.6,0.15,2.19,3.3,,,nacional
2006-03-19,2006-03-25,2.589,0.154,2.179,3.3,,,nacional
2006-03-26,2006-04-01,2.58,0.156,2.24,3.3,,,nacional
2006-04-02,2006-04-08,2.585,0.161,2.19,3.3,,,nacional
2006-04-09,2006-04-15,2.598,0.158,2.19,3.3,,,nacional
2006-04-16,2006-04-22,2.599,0.158,2.155,3.3,,,nacional
2006-04-23,2006-04-29,2.601,0.153,2.17,3.3,,,nacional
2006-04-30,2006-05-06,2.596,0.153,2.17,3.3,,,nacional
2006-05-07,2006-05-13,2.59,0.155,1.87,3.3,,,nacional
2006-05-14,2006-05-20,2.583,0.158,2.17,3.3,,,nacional
2006-05-21,2006-05-27,2.574,0.161,2.17,3.3,,,nacional
2006-05-28,2006-06-03,2.56,0.167,2.17,3.3,,,nacional
2006-06-04,2006-06-10,2.55,0.171,2.16,3.3,,,nacional
2006-06-11,2006-06-17,2.544,0.173,2.14,3.3,,,nacional
2006-06-18,2006-06-24,2.538,0.174,2.16,3.3,,,nacional
2006-06-25,2006-07-01,2.546,0.17,2.17,3.3,,,nacional
2006-07-02,2006-07-08,2.551,0.168,2.16,3.5,,,nacional
2006-07-09,2006-07-15,2.554,0.166,2.14,3.5,,,nacional
2006-07-16,2006-07-22,2.553,0.166,2.15,3.3,,,nacional
2006-07-23,2006-07-29,2.57,0.16,2.15,3.5,,,nacional
2006-07-30,2006-08-05,2.566,0.159,2.129,3.3,,,nacional
