razao,endereco,bairro,bandeira,venda,compra,modalidade,fornecedor,data,combustivel,cidade,ix_semana
POSTO ABRIL DAS AMERICAS LTDA,"AVENIDA DAS AMERICAS, 670",Centro,PETROBRAS DISTRIBUIDORA S.A.,4.579,-,-,-,09/03/2020,gasolina,Betim,1082
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,4.589,-,-,-,09/03/2020,gasolina,Betim,1082
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,4.595,-,-,-,09/03/2020,gasolina,Betim,1082
REDE DOM PEDRO DE POSTOS LTDA.,"RODOVIA BR-381 FERNAO DIAS, S/N KM 496",Brasileia,IPIRANGA,4.595,4303,CIF,-,09/03/2020,gasolina,Betim,1082
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,IPIRANGA,4.595,-,-,-,09/03/2020,gasolina,Betim,1082
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,09/03/2020,gasolina,Betim,1082
POSTO CIDADE NOVA LIMITADA,"AVENIDA JUIZ MARCO TULIO ISAAC, 330",Centro,RAIZEN,4.599,-,-,-,09/03/2020,gasolina,Betim,1082
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,10/03/2020,gasolina,Betim,1082
POSTO BARRA SETE LTDA.,"RODOVIA BR-381 FERNAO DIAS, 000 KM: 485,2;",Santo Antonio,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,09/03/2020,gasolina,Betim,1082
AUTO POSTO HALLAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM484",Distrito Industrial Jardim Piemont Norte,IPIRANGA,4.694,4331,CIF,-,09/03/2020,gasolina,Betim,1082
POSTO GAS STATION LTDA,"RUA INCONFIDENCIA, 111",Centro,IPIRANGA,4.699,4338,CIF,-,09/03/2020,gasolina,Betim,1082
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,4.589,-,-,-,16/03/2020,gasolina,Betim,1083
AUTO POSTO HALLAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM484",Distrito Industrial Jardim Piemont Norte,IPIRANGA,4.594,4331,CIF,-,16/03/2020,gasolina,Betim,1083
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,4.595,-,-,-,16/03/2020,gasolina,Betim,1083
REDE DOM PEDRO DE POSTOS LTDA.,"RODOVIA BR-381 FERNAO DIAS, S/N KM 496",Brasileia,IPIRANGA,4.595,4303,CIF,-,16/03/2020,gasolina,Betim,1083
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,IPIRANGA,4.595,-,-,-,16/03/2020,gasolina,Betim,1083
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,16/03/2020,gasolina,Betim,1083
POSTO BARRA SETE LTDA.,"RODOVIA BR-381 FERNAO DIAS, 000 KM: 485,2;",Santo Antonio,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,16/03/2020,gasolina,Betim,1083
POSTO CIDADE NOVA LIMITADA,"AVENIDA JUIZ MARCO TULIO ISAAC, 330",Centro,RAIZEN,4.599,-,-,-,16/03/2020,gasolina,Betim,1083
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,4.599,-,-,-,17/03/2020,gasolina,Betim,1083
POSTO JR DE BETIM LTDA,"AVENIDA JUIZ MARCO TULIO ISAAC, 5605",Jd das Alterosas,IPIRANGA,4.599,-,-,-,16/03/2020,gasolina,Betim,1083
POSTO GAS STATION LTDA,"RUA INCONFIDENCIA, 111",Centro,IPIRANGA,4.699,4338,CIF,-,16/03/2020,gasolina,Betim,1083
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.429,-,-,-,09/03/2020,diesel,Betim,1082
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.438,-,-,-,09/03/2020,diesel,Betim,1082
REDE DOM PEDRO DE POSTOS LTDA.,"RODOVIA BR-381 FERNAO DIAS, S/N KM 496",Brasileia,IPIRANGA,3.495,3181,CIF,-,09/03/2020,diesel,Betim,1082
POSTO BARRA SETE LTDA.,"RODOVIA BR-381 FERNAO DIAS, 000 KM: 485,2;",Santo Antonio,PETROBRAS DISTRIBUIDORA S.A.,3.499,-,-,-,09/03/2020,diesel,Betim,1082
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.539,-,-,-,10/03/2020,diesel,Betim,1082
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.539,-,-,-,09/03/2020,diesel,Betim,1082
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,IPIRANGA,3.429,-,-,-,16/03/2020,diesel,Betim,1083
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,IPIRANGA,3.438,-,-,-,16/03/2020,diesel,Betim,1083
REDE DOM PEDRO DE POSTOS LTDA.,"RODOVIA BR-381 FERNAO DIAS, S/N KM 496",Brasileia,IPIRANGA,3.495,3181,CIF,-,16/03/2020,diesel,Betim,1083
POSTO BARRA SETE LTDA.,"RODOVIA BR-381 FERNAO DIAS, 000 KM: 485,2;",Santo Antonio,PETROBRAS DISTRIBUIDORA S.A.,3.499,-,-,-,16/03/2020,diesel,Betim,1083
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,PETROBRAS DISTRIBUIDORA S.A.,3.539,-,-,-,16/03/2020,diesel,Betim,1083
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,PETROBRAS DISTRIBUIDORA S.A.,3.539,-,-,-,17/03/2020,diesel,Betim,1083
MILLENIUM-COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA TOMAZ DE ANDRADE, 85",Industrial-3 Secao,IPIRANGA,4.527,4254,CIF,-,11/03/2020,gasolina,Contagem,1082
POSTO NOVA CONTAGEM LTDA,"RUA TIRADENTES, 1941",Industrial Santa Rita,IPIRANGA,4.529,4267,CIF,-,11/03/2020,gasolina,Contagem,1082
POSTO VIDAGO LTDA,"RUA TIRADENTES, 1530",Industrial,IPIRANGA,4.529,4292,CIF,-,11/03/2020,gasolina,Contagem,1082
POSTO VILA GAROTO LTDA,"AVENIDA JUSCELINO KUBSTCHEK, 651",Industrial,IPIRANGA,4.529,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO VILA MARIA DIAS LTDA,"AVENIDA BABITA CAMARGOS, 1330",Cidade Industrial,IPIRANGA,4.533,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO TEREZA CRISTINA LTDA,"RUA HUM, 34",Jardim Emaus,RAIZEN,4.535,-,-,-,11/03/2020,gasolina,Contagem,1082
CCA COMERCIAL DE COMBUSTIVEIS AUTOMOTIVOS LTDA,"AVENIDA CORONEL JOVE SOARES NOGUEIRA, 300",Inconfidentes,PETROBRAS DISTRIBUIDORA S.A.,4.535,4233,CIF,-,11/03/2020,gasolina,Contagem,1082
GLAMA COMBUSTIVEIS & NEGOCIOS LTDA,"AVENIDA ALVARENGA PEIXOTO, 75",Inconfidentes,BRANCA,4.535,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO OKLAHOMA LTDA,"RUA TIRADENTES, 1904",Industrial Sta Rita,IPIRANGA,4.539,-,-,-,11/03/2020,gasolina,Contagem,1082
BRESCIA COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BR 381, 931 KM 800",Amazonas,PETROBRAS DISTRIBUIDORA S.A.,4.547,-,-,-,11/03/2020,gasolina,Contagem,1082
POSTO JARDIM INDUSTRIAL LTDA,"AVENIDA TITO FULGENCIO, 401",Jardim Industrial,BRANCA,4.567,-,-,-,11/03/2020,gasolina,Contagem,1082
