data,abrangencia,valor
2004-01-01,Brasília,166.39
2004-02-01,Brasília,164.77
2004-03-01,Brasília,162.92
2004-04-01,Brasília,159.37
2004-05-01,Brasília,159.48
2004-06-01,Brasília,165.45
2004-07-01,Brasília,165.02
2004-08-01,Brasília,169.32
2004-09-01,Brasília,170.25
2004-10-01,Brasília,169.23
2004-11-01,Brasília,163.91
2004-12-01,Brasília,168.73
2005-01-01,Brasília,170.62
2005-02-01,Brasília,170.1
2005-03-01,Brasília,167.29
2005-04-01,Brasília,171.47
2005-05-01,Brasília,186.78
2005-06-01,Brasília,173.01
2005-07-01,Brasília,165.14
2005-08-01,Brasília,162.44
2005-09-01,Brasília,158.74
2005-10-01,Brasília,164.77
2005-11-01,Brasília,173.0
2005-12-01,Brasília,177.2
2006-01-01,Brasília,178.14
2006-02-01,Brasília,174.14
2006-03-01,Brasília,173.29
2006-04-01,Brasília,168.93
2006-05-01,Brasília,167.11
2006-06-01,Brasília,163.52
2006-07-01,Brasília,162.28
2006-08-01,Brasília,161.59
2006-09-01,Brasília,162.36
2006-10-01,Brasília,163.56
2006-11-01,Brasília,173.74
2006-12-01,Brasília,171.85
2007-01-01,Brasília,173.43
2007-02-01,Brasília,177.08
2007-03-01,Brasília,180.27
2007-04-01,Brasília,177.81
2007-05-01,Brasília,167.29
2007-06-01,Brasília,171.31
2007-07-01,Brasília,172.3
2007-08-01,Brasília,176.21
2007-09-01,Brasília,176.57
2007-10-01,Brasília,177.82
2007-11-01,Brasília,189.2
2007-12-01,Brasília,193.23
2008-01-01,Brasília,209.2
2008-02-01,Brasília,208.74
2008-03-01,Brasília,200.83
2008-04-01,Brasília,214.22
2008-05-01,Brasília,217.6
2008-06-01,Brasília,231.6
2008-07-01,Brasília,236.69
2008-08-01,Brasília,229.17
2008-09-01,Brasília,221.03
2008-10-01,Brasília,220.44
2008-11-01,Brasília,225.6
2008-12-01,Brasília,236.15
2009-01-01,Brasília,234.6
2009-02-01,Brasília,231.13
2009-03-01,Brasília,217.5
2009-04-01,Brasília,221.18
2009-05-01,Brasília,221.34
2009-06-01,Brasília,216.29
2009-07-01,Brasília,217.78
2009-08-01,Brasília,217.27
2009-09-01,Brasília,218.23
2009-10-01,Brasília,222.07
2009-11-01,Brasília,216.22
