data,cambio
2020-03-27,5.1103
2020-03-26,5.0004
2020-03-25,5.07
2020-03-24,5.0707
2020-03-23,5.0798
2020-03-20,5.0241
2020-03-19,5.1437
2020-03-18,5.1101
2020-03-17,5.0489
2020-03-16,4.9464
2020-03-13,4.7355
2020-03-12,4.8825
2020-03-11,4.6732
2020-03-10,4.6687
2020-03-09,4.7373
2020-03-06,4.6453
2020-03-05,4.6201
2020-03-04,4.5252
2020-03-03,4.4877
2020-03-02,4.494
2020-02-28,4.4981
2020-02-27,4.4758
2020-02-26,4.4353
2020-02-21,4.3918
2020-02-20,4.3867
2020-02-19,4.3722
2020-02-18,4.3465
2020-02-17,4.3151
2020-02-14,4.3157
2020-02-13,4.3383
2020-02-12,4.336
2020-02-11,4.3142
2020-02-10,4.3189
2020-02-07,4.307
2020-02-06,4.2471
2020-02-05,4.2443
2020-02-04,4.2375
2020-02-03,4.2469
2020-01-31,4.2689
2020-01-30,4.2517
2020-01-29,4.2007
2020-01-28,4.2058
2020-01-27,4.219
2020-01-24,4.1763
2020-01-23,4.1656
2020-01-22,4.1883
2020-01-21,4.2008
2020-01-20,4.1823
2020-01-17,4.1831
2020-01-16,4.172
2020-01-15,4.1616
2020-01-14,4.1437
2020-01-13,4.1303
2020-01-10,4.0739
2020-01-09,4.0738
2020-01-08,4.0666
2020-01-07,4.0835
2020-01-06,4.0548
2020-01-03,4.0516
2020-01-02,4.0207
2019-12-31,4.0301
2019-12-30,4.0301
2019-12-27,4.0539
2019-12-26,4.0595
2019-12-24,4.0793
2019-12-23,4.0751
2019-12-20,4.0771
2019-12-19,4.0627
2019-12-18,4.0542
2019-12-17,4.0681
2019-12-16,4.0795
2019-12-13,4.0943
2019-12-12,4.1086
2019-12-11,4.1147
2019-12-10,4.1421
2019-12-09,4.1497
2019-12-06,4.1777
2019-12-05,4.213
2019-12-04,4.192
2019-12-03,4.2002
2019-12-02,4.2255
2019-11-29,4.2234
2019-11-28,4.2474
2019-11-27,4.2596
2019-11-26,4.2553
2019-11-25,4.2083
2019-11-22,4.1826
2019-11-21,4.2006
2019-11-20,4.2027
2019-11-19,4.2078
2019-11-18,4.1821
2019-11-14,4.1825
2019-11-13,4.1761
2019-11-12,4.175
2019-11-11,4.1553
2019-11-08,4.1359
2019-11-07,4.0921
2019-11-06,4.0345
2019-11-05,4.0037
2019-11-04,3.9916
2019-11-01,3.978
2019-10-31,4.0035
2019-10-30,4.018
2019-10-29,3.994
2019-10-28,3.9786
2019-10-25,4.0127
2019-10-24,4.0083
2019-10-23,4.0715
2019-10-22,4.0852
