razao,endereco,bairro,cidade,endereço,longitude,latitude
POSTO ABRIL DAS AMERICAS LTDA,"AVENIDA DAS AMERICAS, 670",Centro,Betim,"Av. das Américas, 670 - Centro, Betim - MG, 32600-160, Brazil",-44.191826,-19.9711388
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,Betim,"Rodovia Fernão Dias BR 381 s/n - KM 487 - Dentro Do Posto Ipiranga Vila Fernão Dias - Jardim Teresopolis, Betim - MG, 32560-460, Brazil",-44.1160495,-19.9549519
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,Betim,"Rod Br 381 Fernao Dias - Sn, Km 482 - Dom I. Jardim Piemonte / Sul, Betim - MG, 32689-898, Brazil",-44.0718238,-19.9602094
REDE DOM PEDRO DE POSTOS LTDA.,"RODOVIA BR-381 FERNAO DIAS, S/N KM 496",Brasileia,Betim,"Rod. Fernão Dias, 381 - S/N - Filadélfia, Betim - MG, 32670-138, Brazil",-44.1830349,-19.9701606
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,Betim,"Av. Edmeia Matos Lazzarotti, 1100 - Centro, Betim - MG, 32600-004, Brazil",-44.2036168,-19.9663411
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,Betim,"Av. Campo de Ourique, 1265 - Jardim Alterosa, Betim - MG, 32670-738, Brazil",-44.1577384,-19.949378
POSTO CIDADE NOVA LIMITADA,"AVENIDA JUIZ MARCO TULIO ISAAC, 330",Centro,Betim,"Av. Juiz Marco Túlio Isaac, 330 - Parque das Industrias, Betim - MG, 32550-770, Brazil",-44.196714,-19.9646537
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,Betim,"Av. Juiz Marco Túlio Isaac, 4200 - Parque das Industrias, Betim - MG, 32550-770, Brazil",-44.1771921,-19.9618675
POSTO BARRA SETE LTDA.,"RODOVIA BR-381 FERNAO DIAS, 000 KM: 485,2;",Santo Antonio,Betim,"Rod. Fernão Dias, 381 - 485 - Distrito Industrial Paulo Camilo Sul, Betim - MG, 32684, Brazil",-44.11258309999999,-19.9557068
AUTO POSTO HALLAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM484",Distrito Industrial Jardim Piemont Norte,Betim,"BR-381, KM 484, Nº 1050 - Dom I. Jardim Piemonte / Norte, Betim - MG, 32669-895, Brazil",-44.07402630000001,-19.958671
POSTO GAS STATION LTDA,"RUA INCONFIDENCIA, 111",Centro,Betim,"R. Inconfidência, 111 - Centro, Betim - MG, 32600-100, Brazil",-44.1932353,-19.965911
