razao,endereco,Description,geometry,longitude,latitude,data,venda,quantile
A CARABETTI & CIA LTDA,"AVENIDA CRISTIANO MACHADO, 2000","endereco: AVENIDA CRISTIANO MACHADO, 2000<br>bairro: Cidade Nova<br>cidade: Belo Horizonte<br>endereço: Av. Cristiano Machado, 2000 - Cidade Nova, Belo Horizonte - MG, 31170-800, Brazil<br>longitude: -43.9286631<br>latitude: -19.8900208",POINT Z (-43.9286631 -19.8900208 0),-19.8900208,-43.9286631,2020-11-02,4.797,"(4.778, 4.918]"
ABRAS COMERCIO DE COMBUSTIVEL E VEICULOS LTDA,"AVENIDA PEDRO II, 930","endereco: AVENIDA PEDRO II, 930<br>bairro: Bonfim<br>cidade: Belo Horizonte<br>endereço: Av. Presidente Carlos Luz, 451 - Alto Caiçaras, Belo Horizonte - MG, 30770-560, Brazil<br>longitude: -43.9648137<br>latitude: -19.9050907",POINT Z (-43.9648137 -19.9050907 0),-19.9050907,-43.9648137,2020-02-20,4.655,"(4.639, 4.778]"
ALABASTRO POSTOS E SERVIÇOS LTDA.,"AVENIDA SILVIANO BRANDÃO, 1785","endereco: AVENIDA SILVIANO BRANDÃO, 1785<br>bairro: Floresta<br>cidade: Belo Horizonte<br>endereço: Av. Brg. Eduardo Gomes, 1025 - Glória, Belo Horizonte - MG, 30870-100, Brazil<br>longitude: -44.0042179<br>latitude: -19.9067459",POINT Z (-44.0042179 -19.9067459 0),-19.9067459,-44.0042179,2020-07-01,4.695,"(4.639, 4.778]"
ALMADA & CIA LIMITADA,"RUA JACUI, 3880","endereco: RUA JACUI, 3880<br>bairro: Ipiranga<br>cidade: Belo Horizonte<br>endereço: Av. Amintas Jacques de Morais, 2065 - Glória, Belo Horizonte - MG, 30880-133, Brazil<br>longitude: -44.0170234<br>latitude: -19.9066562",POINT Z (-44.0170234 -19.9066562 0),-19.9066562,-44.0170234,2020-07-01,4.699,"(4.639, 4.778]"
ALMADA & CIA LIMITADA,"RUA JACUI, 4040","endereco: RUA JACUI, 4040<br>bairro: Ipiranga<br>cidade: Belo Horizonte<br>endereço: R. Jacuí, 4040 - Ipiranga, Belo Horizonte - MG, 31160-390, Brazil<br>longitude: -43.9295015<br>latitude: -19.8782271",POINT Z (-43.9295015 -19.8782271 0),-19.8782271,-43.9295015,2020-11-02,4.599,"(4.498, 4.639]"
AUTO POSTO HALLAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM484","endereco: RODOVIA BR-381 FERNAO DIAS, S/N KM484<br>bairro: Distrito Industrial Jardim Piemont Norte<br>cidade: Betim<br>endereço: BR-381, KM 484, Nº 1050 - Dom I. Jardim Piemonte / Norte, Betim - MG, 32669-895, Brazil<br>longitude: -44.0740263<br>latitude: -19.958671",POINT Z (-44.0740263 -19.958671 0),-19.958671,-44.0740263,2020-10-02,4.794,"(4.778, 4.918]"
AUTO POSTO INHUMAS LTDA,"RUA DAS CLARINETAS, 23","endereco: RUA DAS CLARINETAS, 23<br>bairro: Conjunto California<br>cidade: Belo Horizonte<br>endereço: BR-040, 1000 - Califórnia, Belo Horizonte - MG, 30855-500, Brazil<br>longitude: -44.0270349<br>latitude: -19.9181557",POINT Z (-44.0270349 -19.9181557 0),-19.9181557,-44.0270349,2020-05-02,4.699,"(4.639, 4.778]"
AUTO POSTO MACPETRO LTDA,"RUA DOUTOR ALVARO CAMARGOS, 2216","endereco: RUA DOUTOR ALVARO CAMARGOS, 2216<br>bairro: Santa Monica<br>cidade: Belo Horizonte<br>endereço: Rua Dr. Álvaro Camargos, 2216 - Santa Monica, Belo Horizonte - MG, 31515-000, Brazil<br>longitude: -43.9688247<br>latitude: -19.8270802",POINT Z (-43.9688247 -19.8270802 0),-19.8270802,-43.9688247,2020-11-02,4.633,"(4.498, 4.639]"
AUTO POSTO MAQUINE LTDA,"RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 3605","endereco: RODOVIA ANEL RODOVIARIO CELSO MELLO AZEVEDO, 3605<br>bairro: Vila Bernadeti (barreiro)<br>cidade: Belo Horizonte<br>endereço: R. Des. Réis Alves, 880 - Indústrias I (Barreiro), Belo Horizonte - MG, 30610-270, Brazil<br>longitude: -43.9978788<br>latitude: -19.9657213",POINT Z (-43.9978788 -19.9657213 0),-19.9657213,-43.9978788,2020-03-02,4.697,"(4.639, 4.778]"
AUTO POSTO MENDONCA LTDA,"AVENIDA CRISTIANO MACHADO, 2506","endereco: AVENIDA CRISTIANO MACHADO, 2506<br>bairro: Cidade Nova<br>cidade: Belo Horizonte<br>endereço: Av. Cristiano Machado, 2506 - Vila Suzana, Belo Horizonte - MG, 31260-500, Brazil<br>longitude: -43.9288697<br>latitude: -19.8852496",POINT Z (-43.9288697 -19.8852496 0),-19.8852496,-43.9288697,2020-11-02,4.6930000000000005,"(4.639, 4.778]"
