data,gasolina,indice geral,gasolina_ajustada,ipca_ajustado
2005-01-01,0.06,0.58,1.0006,1.0058
2005-02-01,-0.79,0.59,0.99269526,1.0117342200000001
2005-03-01,0.71,0.61,0.9997433963460001,1.0179057987420002
2005-04-01,0.42,0.87,1.0039423186106533,1.0267615791910556
2005-05-01,-0.64,0.49,0.9975170877715451,1.0317927109290916
2005-06-01,-1.51,-0.02,0.9824545797461948,1.0315863523869058
2005-07-01,-0.5,0.11,0.9775423068474638,1.0327210973745315
2005-08-01,1.14,0.28,0.9886862891455249,1.0356127164471802
2005-09-01,-0.19,0.16,0.9868077851961484,1.0372696967934958
2005-10-01,7.17,0.56,1.0575619033947123,1.0430784070955395
2005-11-01,1.26,0.78,1.0708871833774856,1.0512144186708847
2005-12-01,0.04,0.38,1.0713155382508366,1.055209033461834
2006-01-01,1.19,0.59,1.0840641931560215,1.061434766759259
2006-02-01,0.57,0.41,1.0902433590570109,1.065786649302972
2006-03-01,2.78,0.43,1.120552124438796,1.0703695318949746
2006-04-01,-0.09,0.21,1.119543627526801,1.072617307911954
2006-05-01,,0.1,,1.073689925219866
2006-06-01,-1.6,-0.21,1.1016309294863722,1.0714351763769043
2006-07-01,0.81,0.19,1.110554140015212,1.0734709032120204
2006-08-01,-0.4,0.05,1.106111923455151,1.0740076386636264
2006-09-01,-0.05,0.21,1.1055588674934236,1.07626305470482
2006-10-01,-0.11,0.33,1.104342752739181,1.079814722785346
2006-11-01,-0.17,0.31,1.1024653700595244,1.0831621484259808
2006-12-01,-0.41,0.48,1.0979452620422803,1.0883613267384253
2007-01-01,-0.57,0.44,1.0916869740486392,1.0931501165760744
2007-02-01,-0.86,0.44,1.082298466071821,1.0979599770890092
2007-03-01,0.72,0.37,1.090091015027538,1.1020224290042386
2007-04-01,0.66,0.25,1.0972856157267197,1.104777485076749
2007-05-01,0.33,0.28,1.100906658258618,1.107870862034964
2007-06-01,-0.77,0.28,1.0924296769900266,1.1109729004486617
2007-07-01,-0.51,0.24,1.0868582856373774,1.1136392354097384
2007-08-01,-0.89,0.47,1.0771852468952048,1.118873339816164
2007-09-01,-0.79,0.18,1.0686754834447327,1.1208873118278333
2007-10-01,0.36,0.3,1.0725227151851338,1.1242499737633167
2007-11-01,0.64,0.38,1.0793868605623185,1.1285221236636174
2007-12-01,1.03,0.74,1.0905045452261104,1.1368731873787281
2008-01-01,-0.38,0.54,1.0863606279542513,1.1430123025905734
2008-02-01,-1.42,0.49,1.070934307037301,1.1486130628732671
2008-03-01,0.76,0.48,1.0790734077707844,1.1541264055750586
2008-04-01,-0.14,0.55,1.0775627049999055,1.1604741008057216
2008-05-01,0.05,0.79,1.0781014863524054,1.1696418462020868
2008-06-01,-0.08,0.74,1.0772390051633234,1.1782971958639823
2008-07-01,0.59,0.53,1.083594715293787,1.1845421710020616
2008-08-01,-0.25,0.28,1.0808857285055526,1.1878588890808672
2008-09-01,0.69,0.26,1.088343840032241,1.1909473221924773
2008-10-01,-0.18,0.45,1.086384821120183,1.1963065851423433
2008-11-01,0.21,0.36,1.0886662292445353,1.2006132888488559
2008-12-01,-0.09,0.28,1.0876864296382152,1.2039750060576326
2009-01-01,0.42,0.48,1.0922547126426956,1.209754086086709
2009-02-01,-0.04,0.55,1.0918178107576386,1.2164077335601862
2009-03-01,-0.34,0.2,1.0881056302010628,1.2188405490273064
2009-04-01,-0.46,0.48,1.0831003443021379,1.2246909836626374
2009-05-01,-0.9,0.47,1.0733524412034186,1.2304470312858518
2009-06-01,0.52,0.36,1.0789338738976764,1.2348766405984808
2009-07-01,0.68,0.24,1.0862706242401805,1.2378403445359172
2009-08-01,0.16,0.15,1.088008657238965,1.2396971050527212
2009-09-01,-0.02,0.24,1.0877910555075172,1.2426723781048477
2009-10-01,1.06,0.28,1.0993216406958968,1.2461518607635411
2009-11-01,0.85,0.41,1.1086658746418119,1.2512610833926716
2009-12-01,0.13,0.37,1.1101071402788463,1.2558907494012246
2010-01-01,1.33,0.75,1.1248715652445551,1.2653099300217339
2010-02-01,0.97,0.78,1.1357828194274273,1.2751793474759034
2010-03-01,-1.95,0.52,1.1136350544485925,1.2818102800827782
2010-04-01,-0.56,0.57,1.1073986981436803,1.28911659867925
2010-05-01,0.01,0.43,1.1075094380134947,1.2946598000535707
2010-06-01,-0.76,0.0,1.099092366284592,1.2946598000535707
2010-07-01,-0.13,0.01,1.097663546208422,1.294789266033576
2010-08-01,0.75,0.04,1.1058960228049854,1.2953071817399895
2010-09-01,-0.14,0.45,1.1043477683730585,1.3011360640578193
2010-10-01,1.13,0.75,1.1168268981556742,1.3108945845382531
2010-11-01,0.81,0.83,1.125873196030735,1.3217750095899206
2010-12-01,0.25,0.63,1.128687879020812,1.330102192150337
2011-01-01,0.62,0.83,1.1356857438707408,1.3411420403451848
2011-02-01,0.5,0.8,1.1413641725900945,1.3518711766679463
2011-03-01,1.97,0.79,1.1638490467901195,1.362550958963623
2011-04-01,6.26,0.77,1.236705997119181,1.373042601347643
2011-05-01,0.85,0.47,1.247217998094694,1.379495901573977
2011-06-01,-3.94,0.15,1.1980776089697631,1.381565145426338
2011-07-01,0.15,0.16,1.1998747253832178,1.3837756496590201
2011-08-01,-0.14,0.37,1.1981949007676813,1.3888956195627586
2011-09-01,0.51,0.53,1.2043056947615967,1.3962567663464414
2011-10-01,0.17,0.43,1.2063530144426915,1.402260670441731
2011-11-01,-0.25,0.52,1.2033371319065849,1.4095524259280283
2011-12-01,0.3,0.5,1.2069471433023045,1.4166001880576684
2012-01-01,-0.35,0.56,1.2027228283007465,1.4245331491107913
2012-02-01,-0.4,0.45,1.1979119369875435,1.4309435482817898
2012-03-01,0.11,0.21,1.1992296401182299,1.4339485297331815
2012-04-01,-0.27,0.64,1.1959917200899106,1.443125800323474
2012-05-01,-0.52,0.36,1.189772563145443,1.4483210532046384
2012-06-01,-0.41,0.08,1.1848944956365466,1.449479710047202
2012-07-01,-0.43,0.43,1.1797994493053094,1.455712472800405
2012-08-01,-0.09,0.41,1.1787376298009347,1.4616808939388866
2012-09-01,-0.13,0.57,1.1772052708821934,1.4700124750343382
2012-10-01,0.75,0.59,1.18603431041381,1.4786855486370407
2012-11-01,1.18,0.6,1.200029515276693,1.487557661928863
2012-12-01,0.18,0.79,1.2021895684041912,1.499309367458101
2013-01-01,0.27,0.86,1.2054354802388825,1.5122034280182406
2013-02-01,4.1,0.6,1.2548583349286766,1.52127664858635
2013-03-01,0.09,0.47,1.2559877074301122,1.5284266488347058
2013-04-01,-0.41,0.55,1.2508381578296488,1.5368329954032969
2013-05-01,-0.52,0.37,1.2443337994089347,1.542519277486289
2013-06-01,-0.93,0.26,1.2327614950744317,1.5465298276077533
2013-07-01,-0.23,0.03,1.2299261436357605,1.5469937865560355
2013-08-01,-0.15,0.24,1.2280812544203068,1.5507065716437698
2013-09-01,-0.42,0.35,1.2229233131517416,1.556134044644523
2013-10-01,0.01,0.57,1.2230456054830567,1.565004008698997
2013-11-01,0.63,0.54,1.2307507927976,1.5734550303459716
2013-12-01,4.04,0.92,1.280473124826623,1.5879308166251547
2014-01-01,0.6,0.55,1.2881559635755828,1.5966644361165931
