preco_medio_revenda,regiao,estado,abrangencia,data
2.083,,,nacional,2004-05-12
2.083,,,nacional,2004-05-19
2.084,,,nacional,2004-05-26
2.096,,,nacional,2004-06-02
2.103,,,nacional,2004-06-09
2.134,,,nacional,2004-06-16
2.213,,,nacional,2004-06-23
2.209,,,nacional,2004-06-30
2.208,,,nacional,2004-07-07
2.2,,,nacional,2004-07-14
2.197,,,nacional,2004-07-21
2.208,,,nacional,2004-07-28
2.2119999999999997,,,nacional,2004-08-04
2.225,,,nacional,2004-08-11
2.231,,,nacional,2004-08-18
2.2319999999999998,,,nacional,2004-08-25
2.2319999999999998,,,nacional,2004-09-01
2.233,,,nacional,2004-09-08
2.2319999999999998,,,nacional,2004-09-15
2.2319999999999998,,,nacional,2004-09-22
2.23,,,nacional,2004-09-29
2.23,,,nacional,2004-10-06
2.233,,,nacional,2004-10-13
2.291,,,nacional,2004-10-20
2.292,,,nacional,2004-10-27
2.18,,,nacional,2004-11-03
2.2,,,nacional,2004-11-10
2.202,,,nacional,2004-11-17
2.21,,,nacional,2004-11-24
2.302,,,nacional,2004-12-01
2.307,,,nacional,2004-12-08
2.3,,,nacional,2004-12-15
2.305,,,nacional,2004-12-22
2.302,,,nacional,2004-12-29
2.302,,,nacional,2005-01-05
2.2969999999999997,,,nacional,2005-01-12
2.296,,,nacional,2005-01-19
2.292,,,nacional,2005-01-26
2.292,,,nacional,2005-02-02
2.2880000000000003,,,nacional,2005-02-09
2.285,,,nacional,2005-02-16
2.283,,,nacional,2005-02-23
2.287,,,nacional,2005-03-02
2.29,,,nacional,2005-03-09
2.289,,,nacional,2005-03-16
2.294,,,nacional,2005-03-23
2.294,,,nacional,2005-03-30
2.306,,,nacional,2005-04-06
2.303,,,nacional,2005-04-13
2.301,,,nacional,2005-04-20
2.299,,,nacional,2005-04-27
2.294,,,nacional,2005-05-04
2.295,,,nacional,2005-05-11
2.283,,,nacional,2005-05-18
2.27,,,nacional,2005-05-25
2.2680000000000002,,,nacional,2005-06-01
2.261,,,nacional,2005-06-08
2.252,,,nacional,2005-06-15
2.255,,,nacional,2005-06-22
2.254,,,nacional,2005-06-29
2.259,,,nacional,2005-07-06
2.269,,,nacional,2005-07-13
2.272,,,nacional,2005-07-20
2.271,,,nacional,2005-07-27
2.275,,,nacional,2005-08-03
2.275,,,nacional,2005-08-10
2.263,,,nacional,2005-08-31
2.267,,,nacional,2005-09-07
2.445,,,nacional,2005-09-14
2.449,,,nacional,2005-09-21
2.438,,,nacional,2005-09-28
2.455,,,nacional,2005-10-05
2.474,,,nacional,2005-10-12
2.467,,,nacional,2005-10-19
2.474,,,nacional,2005-10-26
2.476,,,nacional,2005-11-02
2.481,,,nacional,2005-11-09
2.481,,,nacional,2005-11-16
2.475,,,nacional,2005-11-23
