preco_medio_revenda,data,abrangencia
1.828,2004-05-12,Belo Horizonte
1.844,2004-05-19,Belo Horizonte
1.855,2004-05-26,Belo Horizonte
1.875,2004-06-02,Belo Horizonte
1.8659999999999999,2004-06-09,Belo Horizonte
1.8980000000000001,2004-06-16,Belo Horizonte
1.9580000000000002,2004-06-23,Belo Horizonte
1.964,2004-06-30,Belo Horizonte
1.954,2004-07-07,Belo Horizonte
1.96,2004-07-14,Belo Horizonte
1.952,2004-07-21,Belo Horizonte
1.9569999999999999,2004-07-28,Belo Horizonte
1.955,2004-08-04,Belo Horizonte
1.9769999999999999,2004-08-11,Belo Horizonte
1.9869999999999999,2004-08-18,Belo Horizonte
1.982,2004-08-25,Belo Horizonte
1.9769999999999999,2004-09-01,Belo Horizonte
1.9780000000000002,2004-09-08,Belo Horizonte
1.974,2004-09-15,Belo Horizonte
1.9709999999999999,2004-09-22,Belo Horizonte
1.959,2004-09-29,Belo Horizonte
1.9680000000000002,2004-10-06,Belo Horizonte
1.966,2004-10-13,Belo Horizonte
2.0140000000000002,2004-10-20,Belo Horizonte
2.012,2004-10-27,Belo Horizonte
2.019,2004-11-03,Belo Horizonte
2.028,2004-11-10,Belo Horizonte
2.036,2004-11-17,Belo Horizonte
2.0380000000000003,2004-11-24,Belo Horizonte
2.121,2004-12-01,Belo Horizonte
2.117,2004-12-08,Belo Horizonte
2.123,2004-12-15,Belo Horizonte
2.121,2004-12-22,Belo Horizonte
2.126,2004-12-29,Belo Horizonte
2.115,2005-01-05,Belo Horizonte
2.124,2005-01-12,Belo Horizonte
2.109,2005-01-19,Belo Horizonte
2.1180000000000003,2005-01-26,Belo Horizonte
2.103,2005-02-02,Belo Horizonte
2.115,2005-02-09,Belo Horizonte
2.104,2005-02-16,Belo Horizonte
2.1069999999999998,2005-02-23,Belo Horizonte
2.088,2005-03-02,Belo Horizonte
2.101,2005-03-09,Belo Horizonte
2.1,2005-03-16,Belo Horizonte
2.16,2005-03-23,Belo Horizonte
2.1590000000000003,2005-03-30,Belo Horizonte
2.162,2005-04-06,Belo Horizonte
2.151,2005-04-13,Belo Horizonte
2.155,2005-04-20,Belo Horizonte
2.123,2005-04-27,Belo Horizonte
2.1390000000000002,2005-05-04,Belo Horizonte
2.1069999999999998,2005-05-11,Belo Horizonte
2.113,2005-05-18,Belo Horizonte
2.0580000000000003,2005-05-25,Belo Horizonte
2.064,2005-06-01,Belo Horizonte
2.042,2005-06-08,Belo Horizonte
2.066,2005-06-15,Belo Horizonte
2.024,2005-06-22,Belo Horizonte
2.045,2005-06-29,Belo Horizonte
2.033,2005-07-06,Belo Horizonte
2.08,2005-07-13,Belo Horizonte
2.075,2005-07-20,Belo Horizonte
2.095,2005-07-27,Belo Horizonte
2.082,2005-08-03,Belo Horizonte
2.095,2005-08-10,Belo Horizonte
2.101,2005-08-31,Belo Horizonte
2.0780000000000003,2005-09-07,Belo Horizonte
2.242,2005-09-14,Belo Horizonte
2.254,2005-09-21,Belo Horizonte
2.23,2005-09-28,Belo Horizonte
2.276,2005-10-05,Belo Horizonte
2.278,2005-10-12,Belo Horizonte
2.274,2005-10-19,Belo Horizonte
2.273,2005-10-26,Belo Horizonte
2.266,2005-11-02,Belo Horizonte
2.273,2005-11-09,Belo Horizonte
