preço_medio_revenda,municipio,data
1.828,BELO HORIZONTE,2004-05-12
1.81,BETIM,2004-05-12
1.7990000000000002,CONTAGEM,2004-05-12
1.8980000000000001,NOVA LIMA,2004-05-12
1.864,SABARA,2004-05-12
1.864,SANTA LUZIA,2004-05-12
1.824,VESPASIANO,2004-05-12
1.844,BELO HORIZONTE,2004-05-19
1.81,BETIM,2004-05-19
1.814,CONTAGEM,2004-05-19
1.9,NOVA LIMA,2004-05-19
1.8619999999999999,SABARA,2004-05-19
1.868,SANTA LUZIA,2004-05-19
1.824,VESPASIANO,2004-05-19
1.855,BELO HORIZONTE,2004-05-26
1.8159999999999998,BETIM,2004-05-26
1.82,CONTAGEM,2004-05-26
1.915,NOVA LIMA,2004-05-26
1.879,SABARA,2004-05-26
1.88,SANTA LUZIA,2004-05-26
1.824,VESPASIANO,2004-05-26
1.875,BELO HORIZONTE,2004-06-02
1.84,BETIM,2004-06-02
1.8430000000000002,CONTAGEM,2004-06-02
1.9580000000000002,NOVA LIMA,2004-06-02
1.899,SABARA,2004-06-02
1.8940000000000001,SANTA LUZIA,2004-06-02
1.875,VESPASIANO,2004-06-02
1.8659999999999999,BELO HORIZONTE,2004-06-09
1.8459999999999999,BETIM,2004-06-09
1.824,CONTAGEM,2004-06-09
1.9680000000000002,NOVA LIMA,2004-06-09
1.912,SABARA,2004-06-09
1.9069999999999998,SANTA LUZIA,2004-06-09
1.875,VESPASIANO,2004-06-09
1.8980000000000001,BELO HORIZONTE,2004-06-16
1.9269999999999998,BETIM,2004-06-16
1.84,CONTAGEM,2004-06-16
1.935,NOVA LIMA,2004-06-16
1.909,SABARA,2004-06-16
1.9080000000000001,SANTA LUZIA,2004-06-16
1.875,VESPASIANO,2004-06-16
1.9580000000000002,BELO HORIZONTE,2004-06-23
1.944,BETIM,2004-06-23
1.9269999999999998,CONTAGEM,2004-06-23
2.065,NOVA LIMA,2004-06-23
2.004,SABARA,2004-06-23
2.015,SANTA LUZIA,2004-06-23
1.9409999999999998,VESPASIANO,2004-06-23
1.964,BELO HORIZONTE,2004-06-30
1.942,BETIM,2004-06-30
1.932,CONTAGEM,2004-06-30
2.065,NOVA LIMA,2004-06-30
2.004,SABARA,2004-06-30
2.005,SANTA LUZIA,2004-06-30
1.9580000000000002,VESPASIANO,2004-06-30
1.954,BELO HORIZONTE,2004-07-07
1.939,BETIM,2004-07-07
1.909,CONTAGEM,2004-07-07
2.061,NOVA LIMA,2004-07-07
1.9969999999999999,SABARA,2004-07-07
2.003,SANTA LUZIA,2004-07-07
1.9580000000000002,VESPASIANO,2004-07-07
1.96,BELO HORIZONTE,2004-07-14
1.9369999999999998,BETIM,2004-07-14
1.922,CONTAGEM,2004-07-14
2.045,NOVA LIMA,2004-07-14
2.0,SABARA,2004-07-14
2.003,SANTA LUZIA,2004-07-14
1.9580000000000002,VESPASIANO,2004-07-14
1.952,BELO HORIZONTE,2004-07-21
1.944,BETIM,2004-07-21
1.905,CONTAGEM,2004-07-21
2.039,NOVA LIMA,2004-07-21
2.024,SABARA,2004-07-21
1.9980000000000002,SANTA LUZIA,2004-07-21
1.9580000000000002,VESPASIANO,2004-07-21
1.9569999999999999,BELO HORIZONTE,2004-07-28
1.939,BETIM,2004-07-28
1.9140000000000001,CONTAGEM,2004-07-28
2.037,NOVA LIMA,2004-07-28
2.023,SABARA,2004-07-28
2.006,SANTA LUZIA,2004-07-28
1.9580000000000002,VESPASIANO,2004-07-28
1.955,BELO HORIZONTE,2004-08-04
1.943,BETIM,2004-08-04
1.899,CONTAGEM,2004-08-04
2.049,NOVA LIMA,2004-08-04
1.9980000000000002,SABARA,2004-08-04
2.004,SANTA LUZIA,2004-08-04
1.98,VESPASIANO,2004-08-04
1.9769999999999999,BELO HORIZONTE,2004-08-11
1.972,BETIM,2004-08-11
1.966,CONTAGEM,2004-08-11
2.049,NOVA LIMA,2004-08-11
2.03,SABARA,2004-08-11
2.031,SANTA LUZIA,2004-08-11
1.986,VESPASIANO,2004-08-11
1.9869999999999999,BELO HORIZONTE,2004-08-18
1.982,BETIM,2004-08-18
1.963,CONTAGEM,2004-08-18
2.062,NOVA LIMA,2004-08-18
2.0180000000000002,SABARA,2004-08-18
