razao,endereco,bairro,venda,data,combustivel,cidade,ix_semana
POSTO ABRIL DAS AMERICAS LTDA,"AVENIDA DAS AMERICAS, 670",Centro,4.579,2020-09-03,gasolina,Betim,1082
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,4.5889999999999995,2020-09-03,gasolina,Betim,1082
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,4.595,2020-09-03,gasolina,Betim,1082
REDE DOM PEDRO DE POSTOS LTDA.,"RODOVIA BR-381 FERNAO DIAS, S/N KM 496",Brasileia,4.595,2020-09-03,gasolina,Betim,1082
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,4.595,2020-09-03,gasolina,Betim,1082
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,4.599,2020-09-03,gasolina,Betim,1082
POSTO CIDADE NOVA LIMITADA,"AVENIDA JUIZ MARCO TULIO ISAAC, 330",Centro,4.599,2020-09-03,gasolina,Betim,1082
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,4.599,2020-10-03,gasolina,Betim,1082
POSTO BARRA SETE LTDA.,"RODOVIA BR-381 FERNAO DIAS, 000 KM: 485,2;",Santo Antonio,4.599,2020-09-03,gasolina,Betim,1082
AUTO POSTO HALLAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM484",Distrito Industrial Jardim Piemont Norte,4.694,2020-09-03,gasolina,Betim,1082
POSTO GAS STATION LTDA,"RUA INCONFIDENCIA, 111",Centro,4.699,2020-09-03,gasolina,Betim,1082
POSTO VILA FERNAO DIAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM: 487;",Jardim Teresopolis,4.5889999999999995,2020-03-16,gasolina,Betim,1083
AUTO POSTO HALLAS LTDA,"RODOVIA BR-381 FERNAO DIAS, S/N KM484",Distrito Industrial Jardim Piemont Norte,4.593999999999999,2020-03-16,gasolina,Betim,1083
POSTO TURIM LTDA,"RODOVIA BR 381, S/N KM 424,1",Jardim Piemonte,4.595,2020-03-16,gasolina,Betim,1083
REDE DOM PEDRO DE POSTOS LTDA.,"RODOVIA BR-381 FERNAO DIAS, S/N KM 496",Brasileia,4.595,2020-03-16,gasolina,Betim,1083
POSTO VILA AMARAL LTDA,"AVENIDA EDMEIA MATTOS LAZZAROTTI, 1100",Centro,4.595,2020-03-16,gasolina,Betim,1083
POSTO ALTEROSA LTDA.,"AVENIDA CAMPO DE OURIQUE, 1265",Jardim Alterosa,4.599,2020-03-16,gasolina,Betim,1083
POSTO BARRA SETE LTDA.,"RODOVIA BR-381 FERNAO DIAS, 000 KM: 485,2;",Santo Antonio,4.599,2020-03-16,gasolina,Betim,1083
POSTO CIDADE NOVA LIMITADA,"AVENIDA JUIZ MARCO TULIO ISAAC, 330",Centro,4.599,2020-03-16,gasolina,Betim,1083
POSTO ALTEROSA LTDA.,"AVENIDA JUIZ MARCO TULIO ISAAC, 4200",Jardim da Cidade,4.599,2020-03-17,gasolina,Betim,1083
POSTO JR DE BETIM LTDA,"AVENIDA JUIZ MARCO TULIO ISAAC, 5605",Jd das Alterosas,4.599,2020-03-16,gasolina,Betim,1083
POSTO GAS STATION LTDA,"RUA INCONFIDENCIA, 111",Centro,4.699,2020-03-16,gasolina,Betim,1083
MILLENIUM-COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA TOMAZ DE ANDRADE, 85",Industrial-3 Secao,4.527,2020-11-03,gasolina,Contagem,1082
POSTO NOVA CONTAGEM LTDA,"RUA TIRADENTES, 1941",Industrial Santa Rita,4.529,2020-11-03,gasolina,Contagem,1082
POSTO VIDAGO LTDA,"RUA TIRADENTES, 1530",Industrial,4.529,2020-11-03,gasolina,Contagem,1082
POSTO VILA GAROTO LTDA,"AVENIDA JUSCELINO KUBSTCHEK, 651",Industrial,4.529,2020-11-03,gasolina,Contagem,1082
POSTO VILA MARIA DIAS LTDA,"AVENIDA BABITA CAMARGOS, 1330",Cidade Industrial,4.533,2020-11-03,gasolina,Contagem,1082
POSTO TEREZA CRISTINA LTDA,"RUA HUM, 34",Jardim Emaus,4.535,2020-11-03,gasolina,Contagem,1082
CCA COMERCIAL DE COMBUSTIVEIS AUTOMOTIVOS LTDA,"AVENIDA CORONEL JOVE SOARES NOGUEIRA, 300",Inconfidentes,4.535,2020-11-03,gasolina,Contagem,1082
GLAMA COMBUSTIVEIS & NEGOCIOS LTDA,"AVENIDA ALVARENGA PEIXOTO, 75",Inconfidentes,4.535,2020-11-03,gasolina,Contagem,1082
POSTO OKLAHOMA LTDA,"RUA TIRADENTES, 1904",Industrial Sta Rita,4.539,2020-11-03,gasolina,Contagem,1082
BRESCIA COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BR 381, 931 KM 800",Amazonas,4.547,2020-11-03,gasolina,Contagem,1082
POSTO JARDIM INDUSTRIAL LTDA,"AVENIDA TITO FULGENCIO, 401",Jardim Industrial,4.567,2020-11-03,gasolina,Contagem,1082
